Start Time,End Time,Sentence
"00:03:01,000","00:03:02,000",فيه عندي كدة عطر زي كدة
"00:03:02,000","00:03:04,000",بس أغلب العطور فرنسية زى كدة
"00:03:05,000","00:03:06,000",وانتي تشتغل داحين؟
"00:03:06,000","00:03:07,000",اوه بشتغل
"00:03:07,000","00:03:08,000",فين؟
"00:03:08,000","00:03:10,000",بمثل وبمرن تمثيل
"00:03:10,000","00:03:13,000",وارتجال للأطفال والتينز
"00:03:13,000","00:03:14,000",تمرني
"00:03:14,000","00:03:16,000",يعني كانك مدرسة تمثيل وكده؟
"00:03:16,000","00:03:17,000",اوه
"00:03:17,000","00:03:18,000",ممم
"00:03:18,000","00:03:19,000",ممتع
"00:03:19,000","00:03:20,000",ايه؟
"00:03:20,000","00:03:21,000",اوه مش
"00:03:21,000","00:03:23,000",طب انت جيت من السعودية على هنا؟
"00:03:23,000","00:03:24,000",يعني جيت عشان
"00:03:24,000","00:03:26,000",تبقى أشرح لك اللي صار بالضبط
"00:03:26,000","00:03:26,000",اوه ياريخ
"00:03:26,000","00:03:28,000",أنا جيت من السعودية
"00:03:28,000","00:03:29,000",اليوم الساعة 3 العصر
"00:03:30,000","00:03:33,000",وصلت الساعة 5 المفروض أجي من المطار على طول على هنا
"00:03:33,000","00:03:34,000",يعني انت جاي مخصوص عشان الديد دا
"00:03:34,000","00:03:35,000",ييس
"00:03:35,000","00:03:37,000",ما قلت لك أنا في السوشيال ميديا برضه كمان
"00:03:37,000","00:03:38,000",مو بس
"00:03:38,000","00:03:39,000",تعمل ايه تيك توك ولا ايه؟
"00:03:39,000","00:03:40,000",يعني كله
"00:03:40,000","00:03:41,000",يا سيطر يا رب
"00:03:41,000","00:03:42,000",بس ما بقرب لك أكتر من كدة
"00:03:52,000","00:03:53,000",شكرا
"00:03:53,000","00:03:55,000",ممكن أعرف نزلك ايه؟
"00:03:55,000","00:03:56,000",أنا نزللي شربة عدس
"00:03:56,000","00:03:57,000",انت ايش نزلك؟
"00:03:58,000","00:03:59,000",أنا نزللي جريش
"00:03:59,000","00:04:00,000",وأنا مش عارفة دا ايه
"00:04:00,000","00:04:01,000",هو بنجد ايش دا؟
"00:04:02,000","00:04:03,000",ايش ايش عبارة عن ايش يعني؟
"00:04:03,000","00:04:05,000",ما هوريك استنى
"00:04:05,000","00:04:06,000",بس
"00:04:06,000","00:04:07,000",آه جريش
"00:04:07,000","00:04:09,000",أنا هدوه وهدزهولك عمت
"00:04:09,000","00:04:10,000",طيب
"00:04:11,000","00:04:12,000",حلو والله
"00:04:12,000","00:04:13,000",تبي انت شربة عدس؟
"00:04:13,000","00:04:14,000",يعني برحتك
"00:04:14,000","00:04:15,000",تفضلي
"00:04:17,000","00:04:17,000",ياف
"00:04:17,000","00:04:20,000",يعني الأكلة دي اللي أنا قلتها لك دي سعودي؟
"00:04:20,000","00:04:21,000",هذي الأكلة سعودية أيوة
"00:04:21,000","00:04:23,000",منتشر أكثر في الرياض وفي الشرقية وزي كده
"00:04:23,000","00:04:26,000",بص احنا مفروضة نتكلم في التايب بتاعنا
"00:04:26,000","00:04:28,000",يلا انتي قوليلي إيش يور تايب في القعيد
"00:04:28,000","00:04:31,000",يوجهلي بحب الولادة اللي شعرهم طويل
"00:04:31,000","00:04:32,000",ماشية
"00:04:32,000","00:04:33,000",بس دي مش قازمة يعني
"00:04:33,000","00:04:35,000",يبقوا فت
"00:04:35,000","00:04:37,000",مش بحب العضلات الزيادة
"00:04:37,000","00:04:38,000",بحبش ولادة الأسائيرين
"00:04:38,000","00:04:39,000",ايوه
"00:04:39,000","00:04:41,000",تزعلني طيب
"00:04:41,000","00:04:42,000",لا بس معنا بشوف
"00:04:43,000","00:04:47,000",انت تحب البنت اللي تبقى معايا شكلها يبقى عامل ازاي؟
"00:04:47,000","00:04:49,000",مثلا شعرها يعني يكون طويل مو قصير
"00:04:49,000","00:04:51,000",يكون كيرلي ولا ويفي وكده
"00:04:51,000","00:04:52,000",عشان هي تقدر تسوي اللي تبقى
"00:04:52,000","00:04:53,000",يعني تكون فت
"00:04:53,000","00:04:54,000",أقلها تروح الجيم
"00:04:54,000","00:04:56,000",تمسك دايت تاكل أكل كويس
"00:04:56,000","00:04:57,000",بس كده؟
"00:04:57,000","00:04:58,000",بس كده ما فيش هاتان
"00:04:58,000","00:05:00,000",وبالنسبة للشخصية انتي إيش؟
"00:05:00,000","00:05:03,000",يكون حد بيحب الفن
"00:05:03,000","00:05:05,000",عنده هدف عمّة في الحياة
"00:05:05,000","00:05:06,000",انت إيه هدفك في الحياة؟
"00:05:06,000","00:05:09,000",أنا مثلاً الحين عندي مين جول في الرياضة
"00:05:09,000","00:05:10,000",أنا بلعب باديل مرة كتير
"00:05:10,000","00:05:10,000",ميش؟
"00:05:10,000","00:05:12,000",مين جول اني أصير
"00:05:12,000","00:05:13,000",بروفيشنال باديل بلاير في الساوديو ناشرال تيم
"00:05:13,000","00:05:14,000",حلوة قوي
"00:05:14,000","00:05:17,000",طيب ممكن تقولي البنت اللي انت عايز تبقى معاها
"00:05:17,000","00:05:19,000",تحب تكون إيه الحاجة تلف شخصيتها؟
"00:05:19,000","00:05:20,000",لازم تكون بوزيتف
"00:05:21,000","00:05:22,000",ما أحب النكد مرة
"00:05:22,000","00:05:24,000",طول الوقت إيجابية وسعادة
"00:05:24,000","00:05:25,000",يعني خلاص إذا في مشكلة تنحل
"00:05:25,000","00:05:27,000",بس العادة البنات
"00:05:27,000","00:05:28,000",لما يصير في مشكلة
"00:05:28,000","00:05:30,000",يحبوا إنهم يكتروا منها
"00:05:30,000","00:05:32,000",عشان يزودوا المشكلة وقت
"00:05:32,000","00:05:33,000",مثلاً مثلاً
"00:05:33,000","00:05:35,000",ما رديت على الجوال ساعتين
"00:05:35,000","00:05:36,000",قلت آسف معلش
"00:05:36,000","00:05:37,000",ليش نقعد ستة ساعات نضارب
"00:05:37,000","00:05:39,000",إنه أنا ما رديت على الجوال الساعتين اللي فاتت
"00:05:39,000","00:05:41,000",ممكنش ترد ليه؟
"00:05:41,000","00:05:42,000",كنت بلعب باديل
"00:05:42,000","00:05:44,000",فلما تتكلمها بقى بعد ما تخلص
"00:05:44,000","00:05:45,000",هتقول لها أنا آسف
"00:05:45,000","00:05:46,000",طب ما دا عادي دا مش موضوع
"00:05:46,000","00:05:47,000",حصل لي ضرب بلعب
"00:05:47,000","00:05:48,000",طولت في اللعب
"00:05:48,000","00:05:49,000",قعدت أربع ساعات ألعب
"00:05:49,000","00:05:49,000",إيش سوي؟
"00:05:49,000","00:05:52,000",يعني أنت في الأول قلته ما ردتش عليه ساعتين
"00:05:52,000","00:05:54,000",دلوقتي بقى أربع ساعات
"00:05:54,000","00:05:56,000",أنا كنت متفق معاكي إني بلعب ساعتين
"00:05:56,000","00:05:57,000",فجأة صارت أربعة
"00:05:57,000","00:05:57,000",فجأة
"00:05:57,000","00:05:58,000",كنت في الكورت وقعد ألعب خاص
"00:05:58,000","00:05:59,000",كملت مع الشباب إني بلعب معهم
"00:06:00,000","00:06:01,000",وصرت الجوال
"00:06:01,000","00:06:03,000",ليش بعد ما خلص الأربع ساعات دي
"00:06:03,000","00:06:04,000",يصير في مشكلة لنا اليوم اللي بعده
"00:06:04,000","00:06:07,000",فأنت تروح بقى تمشي خمسمائة يوم
"00:06:07,000","00:06:08,000",وبعدين ترجع تكلمها
"00:06:08,000","00:06:10,000",تقول لها أنا آسف رأيتك
"00:06:10,000","00:06:11,000",فيها تقول لك
"00:06:11,000","00:06:12,000",عادي والله يمك
"00:06:12,000","00:06:13,000",مو هذا المقصد لا
"00:06:13,000","00:06:14,000",طب سؤال
"00:06:15,000","00:06:17,000",أنا لو رحت لعبت باديل
"00:06:17,000","00:06:18,000",أنت بتلعب باديل بذوي
"00:06:18,000","00:06:20,000",بلعب كنت بلعب تنس
"00:06:20,000","00:06:23,000",لا تسألني أنا رحت لعبت تنس مع صحابي
"00:06:23,000","00:06:23,000",أنا أعرفهم
"00:06:23,000","00:06:25,000",إيه ده بقى الأسئلة دي
"00:06:25,000","00:06:26,000",يعني أصحابك اللي أعرفهم
"00:06:26,000","00:06:27,000",مثلاً بتقولين لي أنت دائماً
"00:06:27,000","00:06:29,000",بتخرج مع نجوة ومرام وفلانة
"00:06:30,000","00:06:31,000",مين فلان ده بقى
"00:06:31,000","00:06:32,000",فلانة
"00:06:32,000","00:06:33,000",ما في فلانة أبداً تماماً
"00:06:33,000","00:06:34,000",ما هيكون في فلانة
"00:06:34,000","00:06:35,000",نجوة ومريم ومرام
"00:06:35,000","00:06:36,000",حلو؟
"00:06:37,000","00:06:38,000",قلتي لها أنا رايح ألعب معهم
"00:06:38,000","00:06:40,000",والله لو تقعد إلينا اليوم اللي بعده عادي
"00:06:40,000","00:06:41,000",ما حتضرب معاك يعني
"00:06:41,000","00:06:42,000",أقعد لحد الثاني ومعي
"00:06:42,000","00:06:44,000",إذا أنا أعرفهم أعرف دولة مين
"00:06:44,000","00:06:45,000",أوه لكن لو بنايت أنت ما تعرفه
"00:06:45,000","00:06:47,000",طيب وإنت هتتعرف على البنات صحابي
"00:06:47,000","00:06:49,000",إنت حتي تتحكيني طبعاً يعني
"00:06:49,000","00:06:51,000",إيش معنى أنت تتعرف على صحابي البنات
"00:06:51,000","00:06:51,000",وأنا ما
"00:06:51,000","00:06:53,000",أنا هعرفهم بالأسامي
"00:06:53,000","00:06:54,000",ما هو لازم أشوفهم حتى في حياتي
"00:06:54,000","00:06:56,000",طيب أنا عندي سؤال
"00:06:56,000","00:06:58,000",هو صحابك اللي أنت بتلعب معهم باديل
"00:06:58,000","00:07:00,000",كلهم تعرفيهم وتعرف أهلهم
"00:07:00,000","00:07:01,000",وبناتهم وعيالهم compress
"00:07:01,000","00:07:01,000",وأصحابهم وأخوانهم
"00:07:01,000","00:07:02,000",كلهم تعرفيهم مستحيل
"00:07:02,000","00:07:03,000",كلهم أولاد
"00:07:03,000","00:07:04,000",كلهم أولاد طبعاً
"00:07:04,000","00:07:05,000",ما عندناش يعني
"00:07:05,000","00:07:06,000",togg Circuit
"00:07:06,000","00:07:07,000",يعني أنا مش موافقة على المبدأ العام
"00:07:07,000","00:07:09,000",بس أنا موافقة على المسوؤ
"00:07:09,000","00:07:09,000",نايس
"00:07:09,000","00:07:10,000",ماش
"00:07:10,000","00:07:13,000",يعني أنت بتلعب بباديل عادي كده مع هذا؟
"00:07:13,000","00:07:15,000",يعني إنت قلت بلعب باديل
"00:07:15,000","00:07:16,000",مش رايحة
"00:07:16,000","00:07:17,000",أكيد طبعاً بتلعب بباديل يعني
"00:07:17,000","00:07:18,000",طبعاً أنا سألك سؤال طيب
"00:07:18,000","00:07:20,000",شوف هو على حسب السبب
"00:07:20,000","00:07:21,000",هموت هموت
"00:07:21,000","00:07:23,000",استنى أنا قلت لك إنه أنا بمثل
"00:07:23,000","00:07:24,000",حلو
"00:07:24,000","00:07:24,000",إيه بقى
"00:07:24,000","00:07:26,000",إنت قداش قوية في التمثيل؟
"00:07:26,000","00:07:27,000",إيه السؤال ده
"00:07:27,000","00:07:29,000",يعني مثلاً السينما حططيح إذا إنت ما مثلتي؟
"00:07:31,000","00:07:32,000",أصلاً
"00:07:32,000","00:07:33,000",أسألك جاوبيني قول إيه وإلا لا
"00:07:33,000","00:07:36,000",لا هو طب الأسنان هيتيح لو إنت ما
"00:07:36,000","00:07:38,000",أقدر أسيب لك طب الأسنان
"00:07:38,000","00:07:39,000",بس بسألك ده
"00:07:39,000","00:07:41,000",السينما حططيح إذا إنت ما مثلتي؟
"00:07:41,000","00:07:42,000",هططيح أوه
"00:07:42,000","00:07:44,000",خلاص ورب الكعبة تمثلي
"00:07:44,000","00:07:45,000",يا أخي إنت ما زال في الوضع
"00:07:45,000","00:07:47,000",إذا إنت لديك درجة مهمة والله تمثلي
"00:07:48,000","00:07:50,000",بس إذا تمثيلك يعني
"00:07:50,000","00:07:51,000",in general
"00:07:51,000","00:07:52,000",هاه
"00:07:52,000","00:07:53,000",حنحاول إنه إيش
"00:07:53,000","00:07:55,000",يعني على حسب أنا شطرة ولا لا
"00:07:55,000","00:07:56,000",إذا إنت لكي قيمة مرة كبيرة
"00:07:56,000","00:07:57,000",عادي كمل التمثيل
"00:07:57,000","00:07:59,000",ما عشان يبقى لي إيمان لازم أبدأ
"00:07:59,000","00:08:00,000",إنت داحين قلتي ما بدأتي
"00:08:01,000","00:08:03,000",مين أنا أنا ما قولتش إن أنا ما بدأت
"00:08:03,000","00:08:04,000",إسألوا ما تخبرش على الطراويزة
"00:08:04,000","00:08:06,000",أنا ما قولتش إن أنا ما بدأتش
"00:08:06,000","00:08:08,000",إلا إنت قلتي لي ما بدأتي دوب
"00:08:08,000","00:08:09,000",أنا قلت كده
"00:08:09,000","00:08:10,000",إنت ما قلتي بس يعني
"00:08:10,000","00:08:12,000",إنت حسيت إن أنا مش موجوه
"00:08:12,000","00:08:14,000",ما بدأتش كرير التمثيل بتاعي
"00:08:14,000","00:08:15,000",كيف السينما حطيح
"00:08:15,000","00:08:17,000",إذا إنت ما جربت تمثلي
"00:08:17,000","00:08:18,000",مين قال لك إن أنا مجربت
"00:08:18,000","00:08:19,000",إنت قلتي
"00:08:19,000","00:08:21,000",إزاي بقى بدأني التمثيل
"00:08:21,000","00:08:22,000",وأنا ما جربتش
"00:08:22,000","00:08:23,000",إزاي
"00:08:23,000","00:08:25,000",عشان تعرف إن أنا اتنازل عند أشياء عادي
"00:08:25,000","00:08:27,000",هذا الموضوع حمي الشيء أسوي نفسي ما سمعت
"00:08:27,000","00:08:28,000",ليه ما تسمع وترد علي
"00:08:28,000","00:08:29,000",زي ما أتكلمك
"00:08:31,000","00:08:32,000",مين اللي متلخبط
"00:08:32,000","00:08:33,000",إنت ده حين السينما حطيح بدونك
"00:08:34,000","00:08:37,000",كيف حتعرف مستواك إذا إنت ما جربت
"00:08:37,000","00:08:38,000",والله لا أستطيع تمثل
"00:08:38,000","00:08:39,000",طب اسمع إنت حلو
"00:08:39,000","00:08:39,000",مو بتدرب الأطفال
"00:08:39,000","00:08:40,000",بدرب أطفال
"00:08:40,000","00:08:42,000",والله مرة نايس
"00:08:42,000","00:08:43,000",طب الحمدلله
"00:08:43,000","00:08:44,000",ما عندنا مشكلة
"00:08:44,000","00:08:47,000",هو إنت ليه قلت انترستينج في الأول على إن أنا ممثلة
"00:08:47,000","00:08:49,000",وجاي دلوقتي تبنع الحياة
"00:08:49,000","00:08:50,000",رد علي
"00:08:50,000","00:08:52,000",لأن بشوف اللايفستايل كيف حيمشي وكذا
"00:08:52,000","00:08:54,000",وشوفتي وصلت للمرحلة معينة
"00:08:54,000","00:08:55,000",يعني فاهمك كيف
"00:08:55,000","00:08:58,000",آه إنه وصلت بقى المرحلة بتبني حياة معايا
"00:08:58,000","00:08:59,000",فلا دلوقتي بقى
"00:08:59,000","00:09:01,000",هتتغيري عشاني
"00:09:03,000","00:09:05,000",إذا إنتي مرة شاطرة في التمثيل
"00:09:05,000","00:09:08,000",يا أستاذ أنا شايفة نفسي شاطرة
"00:09:08,000","00:09:09,000",إنت مش شايفني شاطرة
"00:09:09,000","00:09:09,000",أنا مش شاطرة
"00:09:09,000","00:09:11,000",مين اللي عم يحدر شطارتي
"00:09:11,000","00:09:12,000",الناس هتحدد شطارتك
"00:09:12,000","00:09:15,000",مثلاً عادي الإمام لو وقف كله نحن تجنن
"00:09:15,000","00:09:16,000",أنا هسألك سؤال
"00:09:16,000","00:09:19,000",إنت قدي إيه شاطر في التيك توك اللي إنت بتعمله ده
"00:09:19,000","00:09:22,000",أنا شاطر عندي متابعين كثير والله
"00:09:22,000","00:09:23,000",كم يعني
"00:09:23,000","00:09:24,000",عندي 4.5 مليون
"00:09:24,000","00:09:26,000",تبرافو ماشي
"00:09:26,000","00:09:27,000",أنا بقى عايزك تبطل تيك توك
"00:09:27,000","00:09:29,000",إنتي قوليلي بادل مثلاً
"00:09:29,000","00:09:30,000",قوليلي إنت قدي إيه شاطر في البادل
"00:09:30,000","00:09:31,000",قدي شاطر في البادل
"00:09:31,000","00:09:32,000",فيه potential
"00:09:32,000","00:09:33,000",يبقى تبطل
"00:09:33,000","00:09:36,000",لا نعمل مارش ونجيب دخول
"00:09:36,000","00:09:40,000",ونشوف بقى أنت تستحق أنك تقف في الملعب وتمسك مضرب ولا لا
"00:09:40,000","00:09:41,000",نجيبه
"00:09:41,000","00:09:43,000",لو خسرت مش هتمسك مضرب تاني في الحياة
"00:09:43,000","00:09:44,000",إذا خسرت من مين؟ أي أحد؟
"00:09:44,000","00:09:46,000",من الميارات 2 اللي قدامك
"00:09:46,000","00:09:47,000",على حسب مين حقي
"00:09:47,000","00:09:48,000",يعني فأنتي كمان لا تجيجي تقوليها
"00:09:48,000","00:09:50,000",هلعب ضدك كريستياني وميسي مثلاً
"00:09:50,000","00:09:51,000",تبقى أنا قلت سؤال تاني
"00:09:51,000","00:09:52,000",لا فعليش فيه سؤال تاني
"00:09:52,000","00:09:53,000",اتفضل
"00:09:53,000","00:09:56,000",إنت هتقارني في التمثيل بمين عشان تعرف أنه شاطر ولا لا
"00:09:56,000","00:09:58,000",أنا ما هقارنك والله ولا في أحد
"00:09:58,000","00:10:00,000",هجعد معاكي أقولك شوفيه
"00:10:00,000","00:10:01,000",اه انتي مش شاطرة
"00:10:01,000","00:10:03,000",لا والله هقوليك شاطرة طول الوقت
"00:10:03,000","00:10:04,000",بس اللي لازم تبقى حزين
"00:10:04,000","00:10:06,000",يعني مثلاً جاك يوفر دي حين من فيلم مرة يحزن
"00:10:06,000","00:10:08,000",ليش يخليك تروحي
"00:10:08,000","00:10:09,000",ليش يطلع شكلك بايخ
"00:10:09,000","00:10:11,000",بس مثلاً في الجهة الثانية
"00:10:11,000","00:10:13,000",جاك فيلم البطل حقه عادي الإمام
"00:10:13,000","00:10:15,000",أقسم رب نوقع الكونتراكت مع بعض
"00:10:15,000","00:10:18,000",والله لا تروحي وأنا أجي وأقعد أتفرج عليكم خلف الكوليس
"00:10:18,000","00:10:20,000",أنا مش حبيتك تتفرج علي
"00:10:20,000","00:10:20,000",ليش كده
"00:10:20,000","00:10:22,000",أنا دلوقتي عايز أمثل
"00:10:22,000","00:10:23,000",شفتي أنت ما بدأت
"00:10:23,000","00:10:24,000",اسمعني
"00:10:24,000","00:10:26,000",التفل عشان يمشي
"00:10:26,000","00:10:27,000",محتاج يعمل إيه
"00:10:27,000","00:10:27,000",يرقص
"00:10:27,000","00:10:30,000",أكيد هيمشي يعني يجوم يحبي ويتحرك وفعما يمشي
"00:10:30,000","00:10:32,000",محتاج يمشي خطوات الأول إيه
"00:10:32,000","00:10:33,000",يحبي
"00:10:33,000","00:10:34,000",وبعدين يمشي
"00:10:34,000","00:10:35,000",وبعدين يجري
"00:10:35,000","00:10:37,000",فأنا في التمثيل عشان أبقى
"00:10:37,000","00:10:39,000",إن شاء الله أستحق أن أنا أبقى
"00:10:39,000","00:10:41,000",مع ممثل كبير
"00:10:41,000","00:10:42,000",هعمل فيلم صغير دور صغير
"00:10:42,000","00:10:43,000",وبعدين دور أكبر
"00:10:43,000","00:10:45,000",وبعدين أبقى إن شاء الله بطلة
"00:10:45,000","00:10:46,000",طيب صح
"00:10:46,000","00:10:48,000",أنت بقى مش هتسمح لي أعمل الفيلم اللي في الأول اللي يحزن
"00:10:48,000","00:10:50,000",والله إذا فيه potential
"00:10:50,000","00:10:50,000",فأنا مش هعيب
"00:10:50,000","00:10:54,000",عندي أصلاً الفرصة إن أنا أعمل حاجة أكبر
"00:10:54,000","00:10:55,000",لأن أنا ما بدأتش
"00:10:55,000","00:10:57,000",ولا أنت الحاجات بتجي لك مرة واحدة
"00:10:57,000","00:10:58,000",طيب أديكي خلاصة
"00:10:58,000","00:10:59,000",والله هذي نهاية النقاش
"00:10:59,000","00:11:00,000",قررت ماشي
"00:11:00,000","00:11:02,000",إذا عمرك أقل من 23
"00:11:02,000","00:11:04,000",أبدأ يحبي في التمثيل
"00:11:04,000","00:11:05,000",خلاص؟
"00:11:05,000","00:11:06,000",لأنه بعد 23
"00:11:06,000","00:11:07,000",أنت خلصت الفرص
"00:11:07,000","00:11:08,000",المفروض تبدأ من وأنت صغيرة
"00:11:08,000","00:11:11,000",أنا بس بحاول أشرح لك من الأول
"00:11:11,000","00:11:13,000",إن أنا بدأت أمثل
"00:11:13,000","00:11:14,000",الله يوفقك
"00:11:14,000","00:11:15,000",أنت مرعب
"00:11:17,000","00:11:19,000",كم يعني كويس بطال ولليش
"00:11:19,000","00:11:20,000",حس مرة بطال
"00:11:20,000","00:11:21,000",أنت شوفي
"00:11:21,000","00:11:22,000",أنت رأيك إف نفسك
"00:11:22,000","00:11:24,000",لما بتبص كده في المرية بتحس بإيه
"00:11:24,000","00:11:25,000",أحس كلامي منطقي
"00:11:25,000","00:11:27,000",يا ربنا يوفقك يا رب
"00:11:27,000","00:11:28,000",آمين
"00:11:37,000","00:11:38,000",نزل لك إيه بقى
"00:11:38,000","00:11:40,000",أنا نزل لحاجة اسمها بومبار
