Start Time,End Time,Sentence,Translation,Emotion
"00:02:19,000","00:02:20,000",شكراً مرسي,"Thank you, Marcy.",neutral
"00:02:21,000","00:02:22,000",طب هسألك سؤال,"Doctor, you have a question.",neutral
"00:02:22,000","00:02:23,000",بتنزل ديتز كتير؟,Let's get Dietz out of here.,neutral
"00:02:23,000","00:02:25,000",يعني اتعرف على ناس,"I mean, I get to know people.",neutral
"00:02:25,000","00:02:26,000",بس ما انزل ديتز يعني وكده,But what I put down Ditz means...,neutral
"00:02:26,000","00:02:26,000",ماشي,All right.,neutral
"00:02:26,000","00:02:27,000",وانتي؟,And you?,neutral
"00:02:27,000","00:02:29,000",لا مش بنزل ديتز كتير,"No, it's not Dietz Ketter's motel.",neutral
"00:02:29,000","00:02:29,000",مرة؟,Once?,neutral
"00:02:29,000","00:02:30,000",نعم,Yeah.,neutral
"00:02:30,000","00:02:31,000",تماماً يعني ما بتنزل ديتز؟,"Exactly what do you mean by ""Ditz""?",neutral
"00:02:31,000","00:02:32,000",لا لا كنت بنزل,"No, no. I was at a motel.",neutral
"00:02:32,000","00:02:34,000",بس ما بقيتش بنزل ديتز كتير,But you're still at the Dietcutter Inn.,neutral
"00:02:34,000","00:02:34,000",اوكي,Okay.,neutral
"00:02:34,000","00:02:35,000",انت درست ايش باي ذوي؟,You've studied Ish Bay with?,neutral
"00:02:35,000","00:02:37,000",درست اعلام وترجمة,I studied flags and translations.,neutral
"00:02:41,000","00:02:42,000",أشتغل دكتور سنين,I've been a doctor for years.,neutral
"00:02:42,000","00:02:44,000",ولا بشتغل حاجة تانية غير,Not on another need other than...,neutral
"00:02:44,000","00:02:45,000",الثنين,Twinkle.,neutral
"00:02:45,000","00:02:46,000",اشتغل اشياء برا طب الأسنان,D.Y.A. stuff.,neutral
"00:02:46,000","00:02:48,000",وبشتغل اشياء كوان في الأسنان,"And I work things, Kwan's in the teeth.",neutral
"00:02:48,000","00:02:49,000",ايه الحاجات اللي بتشغلها,What needs you're running.,neutral
"00:02:49,000","00:02:50,000",برا طب الأسنين؟,Breath of dental?,neutral
"00:02:50,000","00:02:51,000",عندي كدة كدة براند,"I've got that, Brand.",neutral
"00:02:51,000","00:02:51,000",هدوم؟,Hiccup?,neutral
"00:02:51,000","00:02:52,000",مو هدوم,Mo Hudum.,neutral
"00:02:52,000","00:02:53,000",عطور,Perfume.,neutral
"00:02:53,000","00:02:54,000",عندي مطعم,I have a restaurant.,neutral
"00:02:54,000","00:02:55,000",عندي كوفي شوپ,I have Koffi Shopo.,neutral
"00:02:55,000","00:02:55,000",زى كدة,Like this.,neutral
"00:02:55,000","00:02:57,000",طيب والعطور بتعمل,"Well, the perfume's working.",neutral
"00:02:57,000","00:02:58,000",العطور الليالي العربي,Arab perfume.,neutral
"00:02:58,000","00:03:00,000",الليالي العود والميسك,The nights back and the massage.,neutral
"00:03:00,000","00:03:01,000",ولا لا لا,"No, no, no.",neutral
"00:03:01,000","00:03:02,000",فيه عندي كدة عطر زي كدة,I've got a perfume like this.,neutral
"00:03:02,000","00:03:04,000",بس أغلب العطور فرنسية زى كدة,But most of the perfume is French.,neutral
"00:03:05,000","00:03:06,000",وانتي تشتغل داحين؟,And you're working hard?,neutral
"00:03:06,000","00:03:07,000",اوه بشتغل,"Oh, working.",neutral
"00:03:07,000","00:03:08,000",فين؟,Finn?,neutral
"00:03:08,000","00:03:10,000",بمثل وبمرن تمثيل,Like an actress and an actress.,neutral
"00:03:10,000","00:03:13,000",وارتجال للأطفال والتينز,And improvisation for the children and the tennis.,neutral
"00:03:13,000","00:03:14,000",تمرني,Practicing.,neutral
"00:03:14,000","00:03:16,000",يعني كانك مدرسة تمثيل وكده؟,You mean like an acting school and shit?,neutral
"00:03:16,000","00:03:17,000",اوه,Oh.,neutral
"00:03:17,000","00:03:18,000",ممم,Mm-hmm.,neutral
"00:03:18,000","00:03:19,000",ممتع,Fun.,neutral
"00:03:19,000","00:03:20,000",ايه؟,Eh?,neutral
"00:03:20,000","00:03:21,000",اوه مش,"Oh, no.",neutral
"00:03:21,000","00:03:23,000",طب انت جيت من السعودية على هنا؟,"Doctor, you're from Saudi Arabia over here?",neutral
"00:03:23,000","00:03:24,000",يعني جيت عشان,"It means ""Get assan.""",neutral
"00:03:24,000","00:03:26,000",تبقى أشرح لك اللي صار بالضبط,You keep explaining exactly what happened.,neutral
"00:03:26,000","00:03:26,000",اوه ياريخ,"Oh, Rich.",neutral
"00:03:26,000","00:03:28,000",أنا جيت من السعودية,I'm from Saudi Arabia.,neutral
"00:03:28,000","00:03:29,000",اليوم الساعة 3 العصر,Today is 3 p.m.,neutral
"00:03:30,000","00:03:33,000",وصلت الساعة 5 المفروض أجي من المطار على طول على هنا,It's 5 o'clock. I'm supposed to get away from the airport all the way out here.,anger
"00:03:33,000","00:03:34,000",يعني انت جاي مخصوص عشان الديد دا,"I mean, you're Jay, because of the worms.",neutral
"00:03:34,000","00:03:35,000",ييس,Yess.,neutral
"00:03:35,000","00:03:37,000",ما قلت لك أنا في السوشيال ميديا برضه كمان,"What I told you, I'm in sushial media with his consent.",anger
"00:03:37,000","00:03:38,000",مو بس,Moe Bess.,neutral
"00:03:38,000","00:03:39,000",تعمل ايه تيك توك ولا ايه؟,"What do you do, Tick Tock or what?",neutral
"00:03:39,000","00:03:40,000",يعني كله,It means all of it.,neutral
"00:03:40,000","00:03:41,000",يا سيطر يا رب,"Oh, God, control.",neutral
"00:03:41,000","00:03:42,000",بس ما بقرب لك أكتر من كدة,But it's closer to you than it is.,neutral
"00:03:52,000","00:03:53,000",شكرا,Thank you.,neutral
"00:03:53,000","00:03:55,000",ممكن أعرف نزلك ايه؟,May I know your place?,neutral
"00:03:55,000","00:03:56,000",أنا نزللي شربة عدس,I'm getting a glass.,neutral
"00:03:56,000","00:03:57,000",انت ايش نزلك؟,"Hey, what's going on down there?",neutral
"00:03:58,000","00:03:59,000",أنا نزللي جريش,I'm coming down with Gresh.,neutral
"00:03:59,000","00:04:00,000",وأنا مش عارفة دا ايه,And I don't know DA.,neutral
"00:04:00,000","00:04:01,000",هو بنجد ايش دا؟,He's helping us find Aishda?,neutral
"00:04:02,000","00:04:03,000",ايش ايش عبارة عن ايش يعني؟,What? What does that mean?,neutral
"00:04:03,000","00:04:05,000",ما هوريك استنى,"What's up, Horik? Hold on.",neutral
"00:04:05,000","00:04:06,000",بس,BUT...,neutral
"00:04:06,000","00:04:07,000",آه جريش,"Ah, Grish.",neutral
"00:04:07,000","00:04:09,000",أنا هدوه وهدزهولك عمت,I'm a tranquilizer. You're a dead man.,neutral
"00:04:09,000","00:04:10,000",طيب,Okay.,neutral
"00:04:11,000","00:04:12,000",حلو والله,Sweet and God.,neutral
"00:04:12,000","00:04:13,000",تبي انت شربة عدس؟,You're drinking a glass?,neutral
"00:04:13,000","00:04:14,000",يعني برحتك,It means yours.,neutral
"00:04:14,000","00:04:15,000",تفضلي,Here you go.,neutral
"00:04:17,000","00:04:17,000",ياف,Yav.,neutral
"00:04:17,000","00:04:20,000",يعني الأكلة دي اللي أنا قلتها لك دي سعودي؟,You mean the food I told you was Saudi?,neutral
"00:04:20,000","00:04:21,000",هذي الأكلة سعودية أيوة,This food is Saudi.,neutral
"00:04:21,000","00:04:23,000",منتشر أكثر في الرياض وفي الشرقية وزي كده,"It's more widespread in Riyadh, in the East, and in uniform.",anger
"00:04:23,000","00:04:26,000",بص احنا مفروضة نتكلم في التايب بتاعنا,"Look, we're supposed to be talking in our comms.",neutral
"00:04:26,000","00:04:28,000",يلا انتي قوليلي إيش يور تايب في القعيد,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey,",anger
"00:04:28,000","00:04:31,000",يوجهلي بحب الولادة اللي شعرهم طويل,I'm sick of giving birth. Their hair's long.,neutral
"00:04:31,000","00:04:32,000",ماشية,A cattle.,neutral
"00:04:32,000","00:04:33,000",بس دي مش قازمة يعني,But D doesn't mean...,neutral
"00:04:33,000","00:04:35,000",يبقوا فت,There's still a boy.,neutral
"00:04:35,000","00:04:37,000",مش بحب العضلات الزيادة,I don't like muscles any more.,neutral
"00:04:37,000","00:04:38,000",بحبش ولادة الأسائيرين,With the love of giving birth to the Asians.,neutral
"00:04:38,000","00:04:39,000",ايوه,Uh-huh.,neutral
"00:04:39,000","00:04:41,000",تزعلني طيب,You make me feel good.,neutral
"00:04:41,000","00:04:42,000",لا بس معنا بشوف,It's okay with us.,neutral
"00:04:43,000","00:04:47,000",انت تحب البنت اللي تبقى معايا شكلها يبقى عامل ازاي؟,You like a girl who stays with me.,neutral
"00:04:47,000","00:04:49,000",مثلا شعرها يعني يكون طويل مو قصير,Like her hair means he's tall and short.,neutral
"00:04:49,000","00:04:51,000",يكون كيرلي ولا ويفي وكده,"It's Curly, it's not Weaver, and it's true.",anger
"00:04:51,000","00:04:52,000",عشان هي تقدر تسوي اللي تبقى,Because she appreciates what's left.,neutral
"00:04:52,000","00:04:53,000",يعني تكون فت,It means being a boy.,neutral
"00:04:53,000","00:04:54,000",أقلها تروح الجيم,At least the gym goes.,neutral
"00:04:54,000","00:04:56,000",تمسك دايت تاكل أكل كويس,"Catch, eat, eat, eat.",neutral
"00:04:56,000","00:04:57,000",بس كده؟,That's it?,neutral
"00:04:57,000","00:04:58,000",بس كده ما فيش هاتان,But that's not how you're gonna get it.,neutral
"00:04:58,000","00:05:00,000",وبالنسبة للشخصية انتي إيش؟,"And as for character, you're Ish?",neutral
"00:05:00,000","00:05:03,000",يكون حد بيحب الفن,Someone who loves art.,neutral
"00:05:03,000","00:05:05,000",عنده هدف عمّة في الحياة,He has an aunt's purpose in life.,neutral
"00:05:05,000","00:05:06,000",انت إيه هدفك في الحياة؟,You're your purpose in life?,neutral
"00:05:06,000","00:05:09,000",أنا مثلاً الحين عندي مين جول في الرياضة,"I, for example, now have Min Jule at the sport.",neutral
"00:05:09,000","00:05:10,000",أنا بلعب باديل مرة كتير,I play padell once too often.,neutral
"00:05:10,000","00:05:10,000",ميش؟,Mitch?,neutral
"00:05:10,000","00:05:12,000",مين جول اني أصير,"Min Jules, I'm becoming...",neutral
"00:05:12,000","00:05:13,000",بروفيشنال باديل بلاير في الساوديو ناشرال تيم,- Professor Budell Blair in the Southo-Sodio. - Churchill Tim.,neutral
"00:05:13,000","00:05:14,000",حلوة قوي,Strong sweetness.,neutral
"00:05:14,000","00:05:17,000",طيب ممكن تقولي البنت اللي انت عايز تبقى معاها,"Well, then you can tell the girl you want to be with.",anger
"00:05:17,000","00:05:19,000",تحب تكون إيه الحاجة تلف شخصيتها؟,You like having any need to damage her personality?,anger
"00:05:19,000","00:05:20,000",لازم تكون بوزيتف,You have to be a bozitiv.,neutral
"00:05:21,000","00:05:22,000",ما أحب النكد مرة,I don't like to suck it up once.,neutral
"00:05:22,000","00:05:24,000",طول الوقت إيجابية وسعادة,All the time is positive and happy.,neutral
"00:05:24,000","00:05:25,000",يعني خلاص إذا في مشكلة تنحل,"It means salvation, so it's a problem to solve.",anger
"00:05:25,000","00:05:27,000",بس العادة البنات,It's usually girls.,neutral
"00:05:27,000","00:05:28,000",لما يصير في مشكلة,Why is he getting in trouble?,neutral
"00:05:28,000","00:05:30,000",يحبوا إنهم يكتروا منها,They love them. They hate them.,neutral
"00:05:30,000","00:05:32,000",عشان يزودوا المشكلة وقت,They're gonna give the problem time.,neutral
"00:05:32,000","00:05:33,000",مثلاً مثلاً,For example...,neutral
"00:05:33,000","00:05:35,000",ما رديت على الجوال ساعتين,I didn't answer the phone for two hours.,anger
"00:05:35,000","00:05:36,000",قلت آسف معلش,I said I'm sorry.,neutral
"00:05:36,000","00:05:37,000",ليش نقعد ستة ساعات نضارب,"Let's go for six hours, hitchhiking.",neutral
"00:05:37,000","00:05:39,000",إنه أنا ما رديت على الجوال الساعتين اللي فاتت,It's me. I haven't answered the phone for the last two hours.,anger
"00:05:39,000","00:05:41,000",ممكنش ترد ليه؟,Can you get back to him?,neutral
"00:05:41,000","00:05:42,000",كنت بلعب باديل,I was playing padill.,neutral
"00:05:42,000","00:05:44,000",فلما تتكلمها بقى بعد ما تخلص,"When you didn't talk to her, he stayed after he got rid of you.",anger
"00:05:44,000","00:05:45,000",هتقول لها أنا آسف,You're gonna tell her. I'm sorry.,neutral
"00:05:45,000","00:05:46,000",طب ما دا عادي دا مش موضوع,M.E.D. doesn't matter.,neutral
"00:05:46,000","00:05:47,000",حصل لي ضرب بلعب,I got hit by a toy.,neutral
"00:05:47,000","00:05:48,000",طولت في اللعب,I've longed to play.,neutral
"00:05:48,000","00:05:49,000",قعدت أربع ساعات ألعب,I've been playing four hours.,neutral
"00:05:49,000","00:05:49,000",إيش سوي؟,Aish Swee?,neutral
"00:05:49,000","00:05:52,000",يعني أنت في الأول قلته ما ردتش عليه ساعتين,"I mean, you first said what you said, what you said, two hours.",anger
"00:05:52,000","00:05:54,000",دلوقتي بقى أربع ساعات,I've only got four hours left.,neutral
"00:05:54,000","00:05:56,000",أنا كنت متفق معاكي إني بلعب ساعتين,I've been with you. I'm playing two hours.,anger
"00:05:56,000","00:05:57,000",فجأة صارت أربعة,All of a sudden it's four.,neutral
"00:05:57,000","00:05:57,000",فجأة,Suddenly.,neutral
"00:05:57,000","00:05:58,000",كنت في الكورت وقعد ألعب خاص,I was at the cort and I was playing special.,neutral
"00:05:58,000","00:05:59,000",كملت مع الشباب إني بلعب معهم,I've been with the guys. I'm playing with them.,neutral
"00:06:00,000","00:06:01,000",وصرت الجوال,I became a cell phoner.,neutral
"00:06:01,000","00:06:03,000",ليش بعد ما خلص الأربع ساعات دي,Not after he's done four hours D.,neutral
"00:06:03,000","00:06:04,000",يصير في مشكلة لنا اليوم اللي بعده,He gets in trouble for us the day after.,neutral
"00:06:04,000","00:06:07,000",فأنت تروح بقى تمشي خمسمائة يوم,You're on your feet. You've been walking for 500 days.,neutral
"00:06:07,000","00:06:08,000",وبعدين ترجع تكلمها,And then you come back and you talk to her.,neutral
"00:06:08,000","00:06:10,000",تقول لها أنا آسف رأيتك,You tell her I'm sorry. I saw you.,neutral
"00:06:10,000","00:06:11,000",فيها تقول لك,She's telling you.,neutral
"00:06:11,000","00:06:12,000",عادي والله يمك,Normal. Allah be...,neutral
"00:06:12,000","00:06:13,000",مو هذا المقصد لا,"Moe, that's the point. No.",neutral
"00:06:13,000","00:06:14,000",طب سؤال,Question medicine.,neutral
"00:06:15,000","00:06:17,000",أنا لو رحت لعبت باديل,"If I go, I'll play padall.",neutral
"00:06:17,000","00:06:18,000",أنت بتلعب باديل بذوي,You're playing padill with a buddy.,neutral
"00:06:18,000","00:06:20,000",بلعب كنت بلعب تنس,I played. I played tennis.,neutral
"00:06:20,000","00:06:23,000",لا تسألني أنا رحت لعبت تنس مع صحابي,Don't ask me. I'm going to play tennis with my friends.,anger
"00:06:23,000","00:06:23,000",أنا أعرفهم,I know them.,neutral
"00:06:23,000","00:06:25,000",إيه ده بقى الأسئلة دي,"Eh, that's the rest of the questions, Dee.",neutral
"00:06:25,000","00:06:26,000",يعني أصحابك اللي أعرفهم,It means your friends I know.,neutral
"00:06:26,000","00:06:27,000",مثلاً بتقولين لي أنت دائماً,"Like, you always tell me.",neutral
"00:06:27,000","00:06:29,000",بتخرج مع نجوة ومرام وفلانة,"Graduation with a sauce, aram, and an apple.",neutral
"00:06:30,000","00:06:31,000",مين فلان ده بقى,Min Flan is staying.,neutral
"00:06:31,000","00:06:32,000",فلانة,Flanna.,neutral
"00:06:32,000","00:06:33,000",ما في فلانة أبداً تماماً,It's never exactly in an oven.,neutral
"00:06:33,000","00:06:34,000",ما هيكون في فلانة,What are you doing in Flana?,neutral
"00:06:34,000","00:06:35,000",نجوة ومريم ومرام,"Survive, Mary and Maram.",neutral
"00:06:35,000","00:06:36,000",حلو؟,Sweet?,neutral
"00:06:37,000","00:06:38,000",قلتي لها أنا رايح ألعب معهم,You told her I'm a fart playing with them.,neutral
"00:06:38,000","00:06:40,000",والله لو تقعد إلينا اليوم اللي بعده عادي,"And God, if you fall to us the day after that, it's normal.",anger
"00:06:40,000","00:06:41,000",ما حتضرب معاك يعني,What I'm hitting with you means...,neutral
"00:06:41,000","00:06:42,000",أقعد لحد الثاني ومعي,I'm sitting second with me.,neutral
"00:06:42,000","00:06:44,000",إذا أنا أعرفهم أعرف دولة مين,So I know them. I know Maine.,neutral
"00:06:44,000","00:06:45,000",أوه لكن لو بنايت أنت ما تعرفه,"Oh, but if it's built, you're what you know.",anger
"00:06:45,000","00:06:47,000",طيب وإنت هتتعرف على البنات صحابي,"Okay, and you're gonna get to know the girls, guys.",neutral
"00:06:47,000","00:06:49,000",إنت حتي تتحكيني طبعاً يعني,You're even rubbing me. Of course it means...,neutral
"00:06:49,000","00:06:51,000",إيش معنى أنت تتعرف على صحابي البنات,What does it mean? You get to know girlfriends.,neutral
"00:06:51,000","00:06:51,000",وأنا ما,And I don't...,neutral
"00:06:51,000","00:06:53,000",أنا هعرفهم بالأسامي,I'll introduce them to the Sami.,neutral
"00:06:53,000","00:06:54,000",ما هو لازم أشوفهم حتى في حياتي,What I need to show them is even in my life.,anger
"00:06:54,000","00:06:56,000",طيب أنا عندي سؤال,"Okay, I've got a question.",neutral
"00:06:56,000","00:06:58,000",هو صحابك اللي أنت بتلعب معهم باديل,"He's the guy you're playing with, Padell.",neutral
"00:06:58,000","00:07:00,000",كلهم تعرفيهم وتعرف أهلهم,"They all know them, and you know their parents.",neutral
"00:07:00,000","00:07:01,000",وبناتهم وعيالهم compress,"And their daughters and their children, compress.",neutral
"00:07:01,000","00:07:01,000",وأصحابهم وأخوانهم,And their owners and brothers.,neutral
"00:07:01,000","00:07:02,000",كلهم تعرفيهم مستحيل,They're all you know. No way.,neutral
"00:07:02,000","00:07:03,000",كلهم أولاد,They're all kids.,neutral
"00:07:03,000","00:07:04,000",كلهم أولاد طبعاً,"They're all kids, of course.",neutral
"00:07:04,000","00:07:05,000",ما عندناش يعني,What we've got means...,neutral
"00:07:05,000","00:07:06,000",togg Circuit,♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪,anger
"00:07:06,000","00:07:07,000",يعني أنا مش موافقة على المبدأ العام,"I mean, I don't approve of the general principle.",neutral
"00:07:07,000","00:07:09,000",بس أنا موافقة على المسوؤ,But I'm cool with it.,neutral
"00:07:09,000","00:07:09,000",نايس,Nate.,neutral
"00:07:09,000","00:07:10,000",ماش,Ma'am.,neutral
"00:07:10,000","00:07:13,000",يعني أنت بتلعب بباديل عادي كده مع هذا؟,You mean you're playing with a normal padle like that with this?,anger
"00:07:13,000","00:07:15,000",يعني إنت قلت بلعب باديل,"I mean, you said padill.",neutral
"00:07:15,000","00:07:16,000",مش رايحة,I'm not comfortable.,neutral
"00:07:16,000","00:07:17,000",أكيد طبعاً بتلعب بباديل يعني,"Sure, by playing Badell, it means...",neutral
"00:07:17,000","00:07:18,000",طبعاً أنا سألك سؤال طيب,Of course I asked you a good question.,neutral
"00:07:18,000","00:07:20,000",شوف هو على حسب السبب,See him for the reason.,neutral
"00:07:20,000","00:07:21,000",هموت هموت,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh.",neutral
"00:07:21,000","00:07:23,000",استنى أنا قلت لك إنه أنا بمثل,"Wait, I told you, I'm like...",neutral
"00:07:23,000","00:07:24,000",حلو,Sweet.,neutral
"00:07:24,000","00:07:24,000",إيه بقى,"Eh, stay.",neutral
"00:07:24,000","00:07:26,000",إنت قداش قوية في التمثيل؟,You're a powerful actress?,neutral
"00:07:26,000","00:07:27,000",إيه السؤال ده,"Eh, the question is...",neutral
"00:07:27,000","00:07:29,000",يعني مثلاً السينما حططيح إذا إنت ما مثلتي؟,"It means, like, the movies are broken if you're what you are?",anger
"00:07:31,000","00:07:32,000",أصلاً,Including...,neutral
